urls,products,most_similar_urls
https://www.factorybuys.com.au/products/euro-top-mattress-king,"[' Factory Buys 32cm Euro Top Mattress - King', ' Bouclé Dining Chair', ' Floor Sofa', ' Mattresses > Mattress by Feel', ' Mattress Protectors - Queen', 'ress Protectors', ' Mattress Protectors', ' Single', ' Mattress Protectors - Single', ' Mattress Topper -', ' Mattress Topper - Queen', ' Mattress Topper - Double', ' Mattress Topper - King', ' Mattress Topper - King Single', ' Protectors', ' Mattress Topper - Single', ' Scandi', ' Chloe Bed Frame Metal Platform Bed Base Mattress - Black King', ' Azalea LED Bed Frame PU Leather Gas Lift Storage - Black King', ' Florence Metal Bed Frame Base Platform - Black King', ' Savannah Bed Frame Fabric Gas Lift With Storage - White King', ' KING 1200TC Damask Stripe Cotton Blend Sheet Sets - Mist Green', ' KING Mattress Protector Polyester - White', ' KING Mattress Protector Luxury Topper - White']","['https://vastinterior.com.au/products/samson-daybed-single-2', 'https://nyfurnitureoutlets.com/products/acme-furniture-versailles-classic-bed-king', 'https://www.homeandstyle.com.sg/products/richmond-sofa-grey']"
https://dunlin.com.au/products/beadlight-cirrus,"[' Beadlight Cirrus LED Reading Light', ' Cabin Wall Light LED', ' Circus Wall Light Original BTC', ' Christie Ceiling Light by Original BTC', ' Christie Pendant by Original BTC', ' Christie Pendant Small by Original BTC', ' Christie Wall Light by Original BTC', ' Hatton Wall Light by Original BTC', ' Medium Globe Pendant Original BTC']","['https://lostine.com/products/jack-chairs', 'https://alteriors.ca/collections/herman-miller/products/nelson-saucer-bubble-lamp', 'https://www.normann-copenhagen.com/en/en/products/tivoli/lamps/toli-lamp--20-cm-eu-5005028']"
https://themodern.net.au/products/hamar-plant-stand-ash,"[' Hamar Plant Stand - Ash', ' Hamar Plant Stand', ' Narvik 3 Seat Sofa - Evergreen Fog', ' Cabinet with Drawers - Oak', ' Tray Coffee Table - Oak', ' Side Table with Magazine Holder', ' Reading Chair with Ottoman - Birch Walnut/Black Leather', ' Reading Chair with Ottoman - Birch/Black Leather']","['https://www.blackmango.com.au/products/gift-card', 'https://onske.co.uk/products/gift-card', 'https://www.prestige-affairs.com/products/wishbone-y-chair']"
https://furniturefetish.com.au/products/oslo-office-chair-white,['No products found'],"['https://www.theimporter.co.nz/products/bookshelf-rosewood', 'https://www.elementsconcept.com.sg/collections/lighting/products/light-shade', 'https://singaporetradingpost.com/products/decorative-white-carved-console']"
https://hemisphereliving.com.au/products/,"[' Felix 4 Door Sideboard', ' Kingston 4 Door 2 Drawer Sideboard', ' Juno Desk', ' Alexander 3 Seater Sofa']","['https://www.jarrahmarri.com.au/products/corner-tv-unit', 'https://furniturevilla.co.uk/products/living-room-furniture/desk', 'https://dkmodernfurniture.com/products/novah-desks?variant=20650194534470']"
https://home-buy.com.au/products/bridger-pendant-larger-lamp-metal-brass,['URL cannot be reached'],"['https://all3loops.com/products/personalized-coozies', 'https://zulufurniture.com/products/posh', 'https://calligarisla.com/products/living/sofas/metro/minimal-and-contemporary-modular-sofa']"
https://interiorsonline.com.au/products/interiors-online-gift-card,"[' The Stretch Sofa', ' Dining Table', ' The Floss Bed', ' The Harmony Bedside Table', ' Muse Entertainment Unit 210cm - Olive', ' Berg 4 Seater LHF Chaise Sofa - Corduroy', ' Eclipse Dining Chair - Oak / Tan Leather', ' Jesper Queen Bed - Copenhagen', ' Edge Side Table - Oak', ' Berg 4 Seater Sofa - Copenhagen', ' Berg 4 Seater LHF Chaise Sofa - Corduroy Fawn']","['https://www.prestige-affairs.com/products/wishbone-y-chair', 'https://www.novena.com.sg/collections/stayhome-collection-for-immediate-delivery/products/altas-dining-set-solid-wood', 'https://eurolivingfurniture.com/products/746-writing-desk']"
https://beckurbanfurniture.com.au/products/page/2/,['URL cannot be reached'],"['https://divine-interiors.co.uk/products/sofa-deposit', 'https://zulufurniture.com/products/posh', 'https://calligarisla.com/products/living/sofas/metro/minimal-and-contemporary-modular-sofa']"
https://livingedge.com.au/products/tables/dining,"[' Ren Round Dining Table', ' Linear Wood Table', ' Aqua Table', ' Taylor Dining Table', ' A-Joint Round Table', ' A-Joint Table', ' Midst Round Dining Table', ' Air-Table', ' Utility Dining Table', ' EM Table', ' Galerie Table', ' Soft Cafe Table, Round', ' Ming Cafe Table', ' South Table, Teak', ' South Cafe Table, Steel', ' Ashida Oval Table', ' Kono 8 Person Table', ' Fayland Table', ' Holborn Table', ' Workshop Table', ' Table', ' Wrongwoods Table', ' Explorer 5 Dining Table', ' Explorer 4 Dining Table']","['https://rutherford-romaguera2611.myshopify.com/products/teddy-rug%20via%20@//twitter.com/undergrndmedia', 'https://www.coolstuffandaccessories.com/products/white-wood-dining-table', 'https://www.arighibianchi.co.uk/collections/new-in-homepage/products/birds-coat-rack']"
https://edenliving.online/collections/summerloving/products/nice-lounge-1,"[' Ari', ' Amalf']","['https://yourpatiostore.com/products/zara-loveseat', 'https://www.ultimateliving.co.nz/products/adam', 'https://www.canvasinteriors.com/collections/rugs/products/lia']"
https://www.ourfurniturewarehouse.com.au/products/athens-3pce-lounge-includes-2x-armless-3-seater-and-corner-ottoman-in-grey-storm-fabric?_pos=1&_sid=9f9ca4320&_ss=r,['No products found'],"['https://signaturefinefurniture.ca/products/jacobson-bed', 'https://superdealfurnituregallery.com/products/tristan-5-piece-kitchen-set', 'https://thedesigndepot.co.nz/products/']"
https://cane-line.co.uk/collections/news-2020/products/breeze-sunbed-5569,['No products found'],"['https://signaturefinefurniture.ca/products/jacobson-bed', 'https://superdealfurnituregallery.com/products/tristan-5-piece-kitchen-set', 'https://thedesigndepot.co.nz/products/']"
https://haute-living.com/products/beam-desk,['No products found'],"['https://www.theimporter.co.nz/products/bookshelf-rosewood', 'https://www.elementsconcept.com.sg/collections/lighting/products/light-shade', 'https://singaporetradingpost.com/products/decorative-white-carved-console']"
https://www.knoll.com/design-plan/products/by-designer/knoll,"[' New', ' Qu', ' Florence Knoll Hairpin™ Stacking Table', ' Florence Knoll™ Bench', ' Florence Knoll™ Coffee and End Tables', ' Florence Knoll™ Credenza', ' Florence Knoll™ Dining Tables', ' Florence Knoll™ Executive Desk', ' Florence Knoll™ Lounge Chair', ' Florence Knoll™ Model 31 Lounge Chair', ' Florence Knoll™ Model 33 Sofa', ' Florence Knoll™ Relaxed Benches', ' Florence Knoll™ Relaxed Lounge Chair', ' Florence Knoll™ Relaxed Sofa and Settee', ' Florence Knoll™ Sofa and Settee', ' Florence Knoll™ Table Desk', ' Florence Knoll™ Vertical Storage']","['https://eurolivingfurniture.com/products/746-writing-desk', 'https://ifortifi.ca/products/pl103', 'https://sika-design.com/products/belladonna-nature']"
https://www.balirepublic.com.au/products/fabric-cleaner,['No products found'],"['https://www.theimporter.co.nz/products/bookshelf-rosewood', 'https://www.elementsconcept.com.sg/collections/lighting/products/light-shade', 'https://singaporetradingpost.com/products/decorative-white-carved-console']"
https://vastinterior.com.au/products/samson-daybed-single-2,"[' Samson Daybed Frame - Single', ' Bonne Daybed Frame', ' Samson Single Daybed Foam and Cover', ' Bonne Daybed & Mattress Combo - Olefin', ' Pretzel Daybed - Jungle with Taupe Covers']","['https://www.factorybuys.com.au/products/euro-top-mattress-king', 'https://choufani.com/products/primavera-bed', 'https://adona.in/products/adona-adonica-fusion-king-bed-plywood']"
https://www.hudsonfurniture.com.au/products/string-weave-timber-stool,"[' String weave timber stool', ' Hudson String weave stool', ' Chester Carver dining chair Hudson', ' Chester Dining Chair Hudson', ' Criss Cross Back Carver Dining Chair Hudson', ' Criss Cross Back Dining Chair Hudson', ' Batavia High Back Carver Dining Chair Hudson', ' Batavia High Back Dining Chair Hudson']","['https://ifortifi.ca/products/pl103', 'https://www.byronbayhangingchairs.com.au/products/weekender', 'https://thonet.co.nz/products/all']"
https://premiumpatio.com.au/products/outdoor-tables/page/3/,['No products found'],"['https://www.theimporter.co.nz/products/bookshelf-rosewood', 'https://www.elementsconcept.com.sg/collections/lighting/products/light-shade', 'https://singaporetradingpost.com/products/decorative-white-carved-console']"
